Year;Month;Amount;Category;Person;Type
2025;Jan;200,65;Groceries::Supermarket;Unknown;Actual
2025;Jan;189,6;Groceries::Supermarket;Unknown;Actual
2025;Jan;246,05;Groceries::Supermarket;Unknown;Actual
2025;Jan;190,0;Health::Beauty;Unknown;Actual
2025;Jan;159,9;Uncategorized;Unknown;Actual
2025;Jan;37,0;Uncategorized;Unknown;Actual
2025;Jan;493,0;Uncategorized;Unknown;Actual
2025;Jan;475,8;Uncategorized;Unknown;Actual
2025;Jan;296,7;Groceries::Supermarket;Unknown;Actual
2025;Jan;200,0;Uncategorized;Unknown;Actual
2025;Jan;10,0;Uncategorized;Unknown;Actual
2025;Jan;441,5;Groceries::Supermarket;Unknown;Actual
2025;Jan;42,0;Uncategorized;Unknown;Actual
2025;Jan;397,0;Groceries::Supermarket;Unknown;Actual
2025;Jan;280,0;Uncategorized;Unknown;Actual
2025;Jan;15,0;Uncategorized;Unknown;Actual
2025;Jan;728,1;Groceries::Supermarket;Unknown;Actual
2025;Jan;222,9;Uncategorized;Unknown;Actual
2025;Jan;200,0;Uncategorized;Unknown;Actual
2025;Jan;226,65;Groceries::Supermarket;Unknown;Actual
2025;Jan;63,0;Uncategorized;Unknown;Actual
2025;Jan;30,0;Uncategorized;Unknown;Actual
2025;Jan;30,0;Uncategorized;Unknown;Actual
2025;Jan;80,9;Uncategorized;Unknown;Actual
2025;Jan;693,15;Groceries::Supermarket;Unknown;Actual
2025;Jan;312,9;Uncategorized;Unknown;Actual
2025;Jan;304,05;Groceries::Supermarket;Unknown;Actual
2025;Jan;254,05;Uncategorized;Unknown;Actual
2025;Jan;140,19;Uncategorized;Unknown;Actual
2025;Jan;58,0;Uncategorized;Unknown;Actual
2025;Jan;58,0;Uncategorized;Unknown;Actual
2025;Jan;40,0;Uncategorized;Unknown;Actual
2025;Jan;4731,48;Uncategorized;Unknown;Actual
2025;Jan;1691,63;Uncategorized;Unknown;Actual
2025;Jan;1691,63;Uncategorized;Unknown;Actual
2025;Jan;1728,4;Uncategorized;Unknown;Actual
2025;Jan;585,3;Uncategorized;Unknown;Actual
2025;Jan;841,37;Uncategorized;Unknown;Actual
2025;Jan;996,75;Uncategorized;Unknown;Actual
2025;Jan;8664,99;Uncategorized;Unknown;Actual
2025;Jan;1509,0;Uncategorized;Unknown;Actual
2025;Jan;5000,0;Uncategorized;Unknown;Actual
2025;Jan;194,96;Uncategorized;Unknown;Actual
2024;Dec;110,0;Uncategorized;Unknown;Actual
2024;Dec;40954,77;Uncategorized;Unknown;Actual
2024;Dec;34743,86;Uncategorized;Unknown;Actual
2024;Dec;191,61;Uncategorized;Unknown;Actual
2024;Dec;139,63;Uncategorized;Unknown;Actual
2024;Dec;74,99;Uncategorized;Unknown;Actual
